# Nomenclature CCAM consolidée à partir de trois sources officielles : (1) chapitres 1 à 19 de la CCAM descriptive publiés par l'ATIH (https://www.atih.sante.fr/sites/default/files/public/content/1621/Chapitre_N.pdf) ; (2) jeu de données « CCAM Ameli » (data.gouv.fr / InterHop : actes tarifés en libéral) ; (3) libellés abrégés des listes d'actes du Manuel des GHM 2025. Union des actes : un acte absent d'une source reste présent si une autre le porte.
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Les libellés sont repris verbatim de la source indiquée (source_libelle) : la casse diffère donc selon la source.
# chapitre_ccam : 1 à 19 ; 18 = gestes complémentaires et d'anesthésie, 19 = adaptations pour la CCAM transitoire (forfaits).
code;libelle;source_libelle;chapitre_ccam;dans_ameli;dans_atih;dans_annexe8
ABMA002;Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par abord direct;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABMA003;Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABML001;Vérification radio-isotopique d'une dérivation du liquide cérébrospinal (G) Chapitre 01 CCAM Version 1 10 sur 68 01.01.09 Épreuves fonctionnelles du système nerveux 01.01.09.01 Potentiels évoqués visuels [PEV] CODE CCAM P A LIBELLE MODIFICATEURS;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
ABMP001;Contrôle et/ou réglage secondaire transcutané d'une valve de dérivation de liquide cérébrospinal à pression d'ouverture réglable;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
ABQL002;Cisternographie radio-isotopique (G);CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
ABQP001;Surveillance continue de la pression intracrânienne, par 24 heures Chapitre 01 CCAM Version 1 6 sur 68 01.01.03 Échographie du système nerveux CODE CCAM P A LIBELLE MODIFICATEURS;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
ABSA001;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA002;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord translabyrinthique;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA003;Fermeture d'une brèche ostéodurale du sinus frontal, par abord coronal;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA004;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord mastoïdoattical;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA005;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord orbitaire;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA006;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord suprapétreux;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA007;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA008;Fermeture d'une fistule postopératoire de liquide cérébrospinal de la base du crâne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA009;Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire de la voûte crânienne, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA010;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord paralatéronasal;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA011;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord nasosphénoïdal;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABSA012;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par endoscopie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA001;exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale unilatérale;CCAM Ameli (data.gouv.fr);1;oui;oui;oui
ACFA002;Exérèse de tumeur extraparenchymateuse de la convexité du cerveau sans atteinte de sinus veineux dural, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA003;Exérèse de tumeur de la pointe du rocher, par abord translabyrinthique;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA004;Exérèse de tumeur du clivus, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA005;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord rétrolabyrinthique présigmoïdien;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ACFA006;Exérèse de tumeur de la pointe du rocher sans déroutement du nerf facial, par abord transpétreux;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
