# Fichiers officiels ATIH — Manuel des GHM, version 2025 : annexe 8 (actes classants), annexe 11 (actes mineurs reclassant en GHM médical) et volume 2 par CMD (listes d'actes rattachées aux racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Une ligne par acte classant. racines_ghm = racines dans lesquelles l'acte est classant (volume 2) ; cmds_classantes = CMD de l'annexe 8.
# libelle_ghm = libellé abrégé employé par le manuel (les libellés complets relèvent de la CCAM, voir data/ccam-complete-2025.csv).
code_ccam;racines_ghm;cmds_classantes;reclassant_ghm_medical;libelle_ghm
ADCA007;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;DÉROUTM +SUTURE NF FACIAL AB. LABYRINTH.
ADEA001;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;GREF. NF FACIAL AB. TRANSMASTOÏDIEN
ADEA002;01C08 17C07 21C05;01 17 21;non;GREF. NF FACIAL EXTRAPÉTREUX
ADEA003;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;GREF. NF FACIAL +DÉROUTM AB. LABYRINTH.
ADEA004;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;GREF. NF FACIAL AB. SUPRAPÉTREUX +/- AB.
ADEA005;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;GREF. NF CRÂNIEN CRANIOT.
ADFA002;01C08 03C16 03C17 03C29 08C21 21C05;01 03 08 21;non;EXÉRÈSE LÉS. EXTRACRÂN. 1NF CRÂNIEN +RÉPAR.
ADFA003;01C08 21C05;01 21;non;EXÉRÈSE LÉS. NF FACIAL EXTRAPÉTREUX SANS RÉPAR.
ADFA004;01C08 17C07 21C05;01 17 21;non;EXÉRÈSE LÉS. NF FACIAL INTRAPÉTREUX +RÉPAR.
ADFA005;01C03 01C04 01C11 01C12 03C16 03C17 03C29 08C21 17C07;01 03 08 17;non;EXÉRÈSE LÉS. EXTRACRÂN. 1NF CRÂNIEN SANS RÉPAR.
