# Fichiers officiels ATIH — Manuel des GHM, version 2025 (arrêté publié au BO du 23/07/2025) : annexe 2 (GHM classés par CMD), annexe 3 (GHM courts et caractéristiques des racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# libelle = libellé du GHM représentatif de la racine (version « en ambulatoire » lorsqu'elle existe, sinon premier niveau publié).
# ghm_court : J = ambulatoire strict (0 nuit) ; T0/T1/T2 = très courte durée (0 jour, 0 à 1 jour, 0 à 2 jours).
racine_ghm;cmd;categorie_majeure_ghm;ghm_court;admet_sejour_0_nuit;libelle
06C21;06;Groupes chirurgicaux;;non;Autres interventions sur le tube digestif par laparotomie, niveau 1
06C22;06;Groupes chirurgicaux;;non;Interventions sur l'oesophage, l'estomac et le duodénum pour affections autres que malignes ou ulcères, âge
06C23;06;Groupes chirurgicaux;J;oui;Certaines interventions pour stomies, en ambulatoire
06C24;06;Groupes chirurgicaux;J;oui;Cures d'éventrations postopératoires, âge supérieur à 17 ans, en ambulatoire
06C25;06;Groupes chirurgicaux;J;oui;Interventions réparatrices pour hernies à l'exception des hernies inguinales, crurales, âge supérieur à 17 ans, en ambulatoire
06K02;06;Groupes avec acte classant non opératoire;;non;Endoscopies digestives thérapeutiques et anesthésie : séjours de moins de 2 jours
06K03;06;Groupes avec acte classant non opératoire;J;oui;Séjours comprenant une endoscopie digestive thérapeutique sans anesthésie, en ambulatoire
06K04;06;Groupes avec acte classant non opératoire;J;oui;Endoscopie digestive diagnostique et anesthésie, en ambulatoire
06K05;06;Groupes avec acte classant non opératoire;J;oui;Séjours comprenant une endoscopie digestive diagnostique sans anesthésie, en ambulatoire
06K06;06;Groupes avec acte classant non opératoire;J;oui;Affections digestives sans acte opératoire de la CMD 06, avec anesthésie, en ambulatoire
06M02;06;"Groupes ""médicaux""";T1;oui;Autres gastroentérites et maladies diverses du tube digestif, âge inférieur à 18 ans, très courte durée
06M03;06;"Groupes ""médicaux""";T1;oui;Autres gastroentérites et maladies diverses du tube digestif, âge supérieur à 17 ans, très courte durée
06M04;06;"Groupes ""médicaux""";T1;oui;Transferts et autres séjours courts pour hémorragies digestives
06M05;06;"Groupes ""médicaux""";T1;oui;Autres tumeurs malignes du tube digestif, très courte durée
06M06;06;"Groupes ""médicaux""";T1;oui;Occlusions intestinales non dues à une hernie, très courte durée
06M07;06;"Groupes ""médicaux""";T0;oui;Maladies inflammatoires de l'intestin, très courte durée
06M08;06;"Groupes ""médicaux""";T1;oui;Autres affections digestives, âge inférieur à 18 ans, très courte durée
06M09;06;"Groupes ""médicaux""";T1;oui;Autres affections digestives, âge supérieur à 17 ans, très courte durée
